dataset,run_name,version,timestamp,model,horizon,weather_scenario,model_uses_covariates,degradation_seed,num_weather_vars,n_folds,MAE_mean,MAE_std,RMSE_mean,RMSE_std,MASE_mean,MASE_std,sMAPE_mean,sMAPE_std,total_test_imputed,total_train_imputed,folds_with_imputed_test
washington,washington_t5-01,t5-01,2026-03-13T20:37:44.853670,ARIMA,6,clean_only,False,42,0,2,83.94837815541477,35.31393393765364,94.013511728668,26.52634760430734,1.7071742912211745,0.7008117346959071,53.12214535208378,36.15506058754334,0,4,0
washington,washington_t5-01,t5-01,2026-03-13T20:37:51.659100,SARIMAX,6,clean_only,True,42,8,2,48.43554232168139,14.702100019188237,57.452905362301685,24.61906463789641,0.9889578300925732,0.3106533181029447,33.10236933224193,7.732544798220932,0,4,0
washington,washington_t5-01,t5-01,2026-03-13T20:37:53.948809,XGBoost,6,clean_only,True,42,12,2,85.44824981689453,22.368495532967167,91.94009530285678,27.42685592879614,1.744279864389744,0.475306004747816,57.54967986172159,3.4950526388525938,0,4,0
washington,washington_t5-01,t5-01,2026-03-13T20:37:54.940226,TabPFN,6,clean_only,True,42,8,2,37.761363347371415,30.92678199232237,49.74865664371546,40.17045989546848,0.7732166830144946,0.6389536595895113,22.230414262553182,8.095959818346888,0,4,0
washington,washington_t5-01,t5-01,2026-03-13T20:37:55.826248,TabPFN_NoWeather,6,clean_only,False,42,0,2,41.79214700063069,35.07196522912656,51.31582690192438,45.87095624795995,0.8558481908395689,0.7243605910406279,28.253459542983958,5.226618722672664,0,4,0
washington,washington_t5-01,t5-01,2026-03-13T20:38:04.366522,SARIMAX,6,degraded,True,42,8,2,59.964737670759405,20.412869465116376,68.56347006689438,32.14106745691909,1.224611587460745,0.4296710386157452,40.88512869713425,4.079444434384679,0,4,0
washington,washington_t5-01,t5-01,2026-03-13T20:38:06.842599,XGBoost,6,degraded,True,42,12,2,85.44824981689453,22.368495532967167,91.94009530285678,27.42685592879614,1.744279864389744,0.475306004747816,57.54967986172159,3.4950526388525938,0,4,0
washington,washington_t5-01,t5-01,2026-03-13T20:38:07.811054,TabPFN,6,degraded,True,42,8,2,51.37495104471842,42.144761623738965,64.89270516511291,53.22245085847833,1.0519816581480546,0.8707005111673453,35.7423594316448,9.21953108843575,0,4,0
london,london_t5-01,t5-01,2026-03-13T20:38:12.492455,Seasonal_Naive,6,clean_only,False,42,0,2,580.75,214.37120582972167,830.2533818208952,162.7231102720205,1.8542071740677595,0.7151614639176805,52.45405514414422,4.178678727238124,0,0,0
london,london_t5-01,t5-01,2026-03-13T20:38:13.307277,ARIMA,6,clean_only,False,42,0,2,1175.576169723418,1045.1623039257427,1372.1000441095994,863.5201177293576,3.711374604966524,3.2592897406296024,77.94920536312779,66.9071109316054,0,0,0
london,london_t5-01,t5-01,2026-03-13T20:38:48.296873,SARIMAX,6,clean_only,True,42,8,2,1259.882147621944,903.9008101419239,1412.9278662778038,767.4051249990711,3.983671267446238,2.8049670580894013,86.0467098337044,55.90871177926332,0,0,0
london,london_t5-01,t5-01,2026-03-13T20:38:49.355344,XGBoost,6,clean_only,True,42,12,2,755.8613026936849,417.27719569248035,955.061335563907,224.23080251532085,2.3935361264764654,1.28499478209986,69.36647642296461,49.543459215511824,0,0,0
london,london_t5-01,t5-01,2026-03-13T20:38:50.311443,TabPFN,6,clean_only,True,42,8,2,440.17637634277344,3.7529442092913334,616.0717129077559,227.49141762944018,1.4008812223119256,0.03693038469702951,50.67964705756289,25.564139915528273,0,0,0
london,london_t5-01,t5-01,2026-03-13T20:38:51.181574,TabPFN_NoWeather,6,clean_only,False,42,0,2,415.3777974446615,32.19292367302464,606.9182935159093,256.9324281879265,1.3227718472303471,0.12602728850587372,45.420905799770786,18.943284725869237,0,0,0
london,london_t5-01,t5-01,2026-03-13T20:39:25.991152,SARIMAX,6,degraded,True,42,8,2,1243.444610919483,866.4138557000796,1400.9550919796932,731.872974067658,3.932426047532802,2.6866053075348795,85.93318903584156,54.46165320532167,0,0,0
london,london_t5-01,t5-01,2026-03-13T20:39:27.061649,XGBoost,6,degraded,True,42,12,2,755.8613026936849,417.27719569248035,955.061335563907,224.23080251532085,2.3935361264764654,1.28499478209986,69.36647642296461,49.543459215511824,0,0,0
london,london_t5-01,t5-01,2026-03-13T20:39:28.063776,TabPFN,6,degraded,True,42,8,2,465.1671727498372,101.2365700775347,682.1929295066168,351.22758355997803,1.4831764281214284,0.34857148754436573,52.94421891230125,14.161731648160464,0,0,0
