dataset,run_name,version,timestamp,model,horizon,weather_scenario,model_uses_covariates,degradation_seed,num_weather_vars,n_folds,MAE_mean,MAE_std,RMSE_mean,RMSE_std,MASE_mean,MASE_std,sMAPE_mean,sMAPE_std,total_test_imputed,total_train_imputed,folds_with_imputed_test
london,london_v6,v6,2026-05-18T07:38:21.123875,NeuralProphet_Untuned,24,clean_only,True,42,9,245,693.840325375317,210.75378889194607,945.6785264308847,279.9479908156439,1.8451199122074309,0.5785841503050635,73.33661595470757,18.42009018992732,0,0,0
london,london_v6,v6,2026-05-18T07:54:14.687296,NeuralProphet_Untuned,48,clean_only,True,42,9,122,778.1074864175476,198.7231298363623,1067.0743706348744,252.1636121741808,2.0585382696920687,0.5084835537011007,78.50417742916447,15.793618425311124,0,0,0
london,london_v6,v6,2026-05-18T07:58:48.714974,NeuralProphet_Untuned,168,clean_only,True,42,9,35,655.096317453936,135.04667736082158,878.8051908091327,148.76251798440148,1.7729263139963134,0.4874507871058968,73.55363384067986,13.9708056300915,0,0,0
london,london_v6,v6,2026-05-18T09:58:13.999300,NeuralProphet_NoWeather_Untuned,6,clean_only,False,42,0,980,1255.2536990639303,519.7902825869347,1484.062455890523,625.16222674393,3.3109175829234414,1.331279186717542,107.11726444216018,38.55964004509506,0,0,0
london,london_v6,v6,2026-05-18T10:29:44.068350,NeuralProphet_NoWeather_Untuned,24,clean_only,False,42,0,245,633.9934551972109,184.19751481631428,887.7666424866462,256.6604052802797,1.6858618678594526,0.5001867836092584,66.7996974543271,15.023694921720926,0,0,0
london,london_v6,v6,2026-05-18T10:44:49.355790,NeuralProphet_NoWeather_Untuned,48,clean_only,False,42,0,122,732.1620260640734,170.38196534456495,1053.1810446144275,238.8725315488032,1.936824732767836,0.4311559540447162,71.42065827105255,13.512142233929898,0,0,0
london,london_v6,v6,2026-05-18T10:49:07.126103,NeuralProphet_NoWeather_Untuned,168,clean_only,False,42,0,35,574.3704746643701,93.72570339210264,808.1303220008903,111.4132689185544,1.5412309598734777,0.2510812520934521,64.87305096057217,7.757944310603991,0,0,0
london,london_v6,v6,2026-05-18T11:01:48.272270,TabPFN,6,clean_only,True,42,9,980,176.6058878713725,213.6063295606197,224.8893259165158,280.46888614099225,0.4701872697637173,0.5979716142450494,18.76923745437133,18.216045953975502,0,0,0
london,london_v6,v6,2026-05-18T11:04:57.959821,TabPFN,24,clean_only,True,42,9,245,227.10966901746733,192.4589097562672,345.3316890056343,293.9356249462606,0.6103508220175912,0.562974778827026,21.84805226332613,16.811875834957952,0,0,0
london,london_v6,v6,2026-05-18T11:06:25.826251,TabPFN,48,clean_only,True,42,9,122,237.55273802879728,152.99039453509795,381.96269136869984,247.90546512942112,0.6365625620702625,0.4544508682140147,22.843111765269697,14.112545995299024,0,0,0
london,london_v6,v6,2026-05-18T11:06:52.792337,TabPFN,168,clean_only,True,42,9,35,217.8942434466616,81.70954381879885,376.3448399186222,137.27801616056024,0.593170094216869,0.286675666221679,22.11246416571733,8.386005572475487,0,0,0
london,london_v6,v6,2026-05-18T11:20:29.439840,TabPFN_NoWeather,6,clean_only,False,42,0,980,193.43335436250075,229.8061613375556,239.9680136412282,285.5835816613519,0.5139206319583761,0.6393962415130513,20.4560002519004,20.05375556565868,0,0,0
london,london_v6,v6,2026-05-18T11:23:20.765181,TabPFN_NoWeather,24,clean_only,False,42,0,245,266.2092442411955,217.19153637121,388.3130803867108,316.88040267148386,0.708294753295035,0.6243806961393501,24.69163055620204,18.578122836143063,0,0,0
london,london_v6,v6,2026-05-18T11:24:51.733826,TabPFN_NoWeather,48,clean_only,False,42,0,122,284.5100824161957,191.2374207418042,443.6395978906323,293.2352257226589,0.7597753872596954,0.5710854708850952,25.731397014174384,15.747757213703109,0,0,0
london,london_v6,v6,2026-05-18T11:25:19.783949,TabPFN_NoWeather,168,clean_only,False,42,0,35,292.41175901743827,136.37102950920513,487.1209744330428,208.49543130836915,0.7794758465652757,0.3636058356656162,26.98636202435976,10.49528649430043,0,0,0
london,london_v6,v6,2026-05-18T13:49:22.777782,SARIMAX,6,degraded,True,42,9,980,477.7580097181876,374.9150971087648,563.4721506128333,443.98755485367695,1.2623539040049525,0.9923654117026128,58.582991607666514,42.91220328612327,0,0,0
london,london_v6,v6,2026-05-18T14:22:06.636984,SARIMAX,24,degraded,True,42,9,245,498.1040666229612,274.170887258559,668.9964588015755,381.5867782740984,1.322964707480837,0.7411928425307807,60.93305820120752,27.38910135315115,0,0,0
london,london_v6,v6,2026-05-18T14:38:28.034830,SARIMAX,48,degraded,True,42,9,122,657.9411889245422,304.0348640795908,897.2968377743446,388.2844156223962,1.7370633076589053,0.7835137429988698,72.52813787981202,28.559529009169943,0,0,0
london,london_v6,v6,2026-05-18T14:43:02.419572,SARIMAX,168,degraded,True,42,9,35,914.4799137055614,552.9137655615898,1180.660584470161,616.7937155382207,2.4007680195440653,1.3109752620741466,92.45972551265488,35.304788610554944,0,0,0
london,london_v6,v6,2026-05-18T15:36:54.590424,XGBoost,6,degraded,True,42,13,980,213.3238480829057,235.1462048726412,265.4214107368097,283.73460291819254,0.5694620827352076,0.6699731164693125,21.699945686919943,19.626419811154463,0,0,0
london,london_v6,v6,2026-05-18T15:50:43.076516,XGBoost,24,degraded,True,42,13,245,243.0604672075129,169.54522933597113,364.0575721150181,250.05425382984305,0.6530588695054731,0.5088081883897148,23.380579032291603,15.857208319491352,0,0,0
london,london_v6,v6,2026-05-18T15:57:47.035435,XGBoost,48,degraded,True,42,13,122,254.01763901421856,147.66804304267438,396.97144686455965,231.4258182252593,0.6810197995864149,0.4374694545151077,24.29574527396325,14.443148792242535,0,0,0
london,london_v6,v6,2026-05-18T15:59:57.439219,XGBoost,168,degraded,True,42,13,35,263.904817184826,99.4877885051943,442.4884381080651,168.0973656721536,0.7172348654112214,0.3283456813373165,25.571927976926705,10.524407425351823,0,0,0
london,london_v6,v6,2026-05-18T18:11:36.172015,NeuralProphet_Untuned,6,degraded,True,42,9,980,1232.481335213314,511.1767814974704,1469.5684650774242,612.9786414998143,3.259461503599637,1.3269380709456438,105.32607989283672,38.855122388340014,0,0,0
london,london_v6,v6,2026-05-18T18:44:01.290124,NeuralProphet_Untuned,24,degraded,True,42,9,245,803.1414279705003,230.50607947744064,1064.327365649964,287.8540137404665,2.1423794649461616,0.6307587174909545,84.57766660095635,19.35442216855178,0,0,0
london,london_v6,v6,2026-05-18T18:59:56.220691,NeuralProphet_Untuned,48,degraded,True,42,9,122,941.6467601423216,206.14234943603336,1252.9713194499686,260.2519463264056,2.494136232018996,0.5001575013616933,91.03346342666453,14.823795206990608,0,0,0
london,london_v6,v6,2026-05-18T19:04:30.308968,NeuralProphet_Untuned,168,degraded,True,42,9,35,958.0330546979188,184.22639251134493,1228.5162015701717,231.67308837320857,2.58174341241854,0.5368803472581645,95.3912025807964,11.00941141804558,0,0,0
london,london_v6,v6,2026-05-18T19:17:20.723700,TabPFN,6,degraded,True,42,9,980,209.24776100787983,221.2047123130853,273.4516484757275,301.9084888707066,0.5594704470136594,0.6261862880531822,22.06799567782025,18.27541826098749,0,0,0
london,london_v6,v6,2026-05-18T19:20:39.475189,TabPFN,24,degraded,True,42,9,245,259.3401157771649,184.986354332658,402.66243174748536,284.7455182771075,0.6956758390019584,0.5402131154861015,25.177937292356937,16.327447985208362,0,0,0
london,london_v6,v6,2026-05-18T19:22:25.693063,TabPFN,48,degraded,True,42,9,122,273.10141583609453,146.0758256017791,446.097488787925,239.0674210678474,0.7322580708663329,0.4400930226783253,26.192243400340665,13.44523408797367,0,0,0
london,london_v6,v6,2026-05-18T19:22:56.704462,TabPFN,168,degraded,True,42,9,35,261.4028313357814,76.15121580984419,447.2212791817005,129.10067494487456,0.7075130877924659,0.2482064614558992,25.91300122597221,7.748245262430903,0,0,0
seoul,seoul_v6,v6,2026-05-18T21:10:12.672159,TabPFN_v3,6,clean_only,True,42,9,980,170.73717410000816,154.55762517593033,210.4572958829465,194.6407944883668,0.5987296689292808,0.5749613561707169,25.99033655851605,28.173196019726937,295,33780,50
seoul,seoul_v6,v6,2026-05-18T21:13:54.150261,TabPFN_v3,24,clean_only,True,42,9,245,194.7471729217338,117.96456366735691,276.1201282060445,162.21884976440234,0.6889327823943864,0.4705592729636706,28.662195406516982,25.61352883344773,295,8418,13
seoul,seoul_v6,v6,2026-05-18T21:15:44.555848,TabPFN_v3,48,clean_only,True,42,9,122,213.7931534175665,113.37056692844634,313.3117580700267,150.1148384737183,0.7618876998525963,0.4654849723633514,30.81361620729737,24.56798673008978,295,4161,13
seoul,seoul_v6,v6,2026-05-18T21:16:16.956908,TabPFN_v3,168,clean_only,True,42,9,35,218.01184879038613,108.01585982514474,331.9379974138404,119.98941561628492,0.8023621093912247,0.5652232783493191,32.51139492228193,23.80917917929451,295,1180,7
seoul,seoul_v6,v6,2026-05-18T21:30:28.487891,TabPFN_NoWeather_v3,6,clean_only,False,42,0,980,228.0050927039717,235.02326976038387,269.4475406903839,266.2369213739308,0.7966769523100177,0.8438555766190027,32.73235538267986,37.9949874818184,295,33780,50
seoul,seoul_v6,v6,2026-05-18T21:34:05.150707,TabPFN_NoWeather_v3,24,clean_only,False,42,0,245,288.23897014775247,239.4280510505827,388.21895390125326,305.1771622092308,0.9995155112816192,0.8353104411953323,37.93976016998325,37.72325944404757,295,8418,13
seoul,seoul_v6,v6,2026-05-18T21:35:53.360405,TabPFN_NoWeather_v3,48,clean_only,False,42,0,122,322.74161425371307,228.49747526939265,445.8957587229992,286.1596074224941,1.130542940009805,0.8131614417980807,41.42975962075548,36.7508459113408,295,4161,13
seoul,seoul_v6,v6,2026-05-18T21:36:25.538271,TabPFN_NoWeather_v3,168,clean_only,False,42,0,35,333.87259656693664,175.54462388739205,492.7577097214872,211.8648236590084,1.2013461379219392,0.7262620906481962,44.18733454942819,30.7307806349404,295,1180,7
seoul,seoul_v6,v6,2026-05-18T21:50:52.461162,TabPFN_v3,6,degraded,True,42,9,980,321.6995905336879,283.6652699471513,397.7886764034654,331.9532747269729,1.067389472036856,0.856500465431141,46.11781224792915,33.19293852216452,295,33780,50
seoul,seoul_v6,v6,2026-05-18T21:54:20.433976,TabPFN_v3,24,degraded,True,42,9,245,342.96219816418727,179.84477079008155,481.86188693565816,243.2924207985305,1.1460594334006051,0.5294328016242709,48.70379448944679,28.4720810940059,295,8418,13
seoul,seoul_v6,v6,2026-05-18T21:56:09.635911,TabPFN_v3,48,degraded,True,42,9,122,357.8878163475482,173.66014999672234,506.0801733348161,232.10776828485947,1.199195254161676,0.4871344101475474,50.44008339186506,27.294765617828748,295,4161,13
seoul,seoul_v6,v6,2026-05-18T21:56:40.545257,TabPFN_v3,168,degraded,True,42,9,35,384.4972946352092,162.7505606670812,542.6622979003646,209.81365126399552,1.3272591291793745,0.5782442750202222,55.35058257253099,27.46133496666829,295,1180,7
washington,washington_v6,v6,2026-05-18T22:11:15.041888,TabPFN_v3,6,clean_only,True,42,9,980,50.112619285437525,47.65230871018744,62.49641440778673,59.47123507925902,0.6084384071331886,0.5843473853115388,29.671221482852683,23.98037047306428,40,4664,11
washington,washington_v6,v6,2026-05-18T22:14:53.374414,TabPFN_v3,24,clean_only,True,42,9,245,58.25618022935731,38.31807811334221,83.53932876409141,53.113970294833,0.7097372662539156,0.475247272147339,32.48704023541789,17.883165115940805,40,1166,6
washington,washington_v6,v6,2026-05-18T22:16:42.698270,TabPFN_v3,48,clean_only,True,42,9,122,62.63918679264562,32.300855539248566,94.90540716944494,45.88589174990943,0.7662911783211761,0.4156723937598314,34.382941368590046,15.209229895242,40,582,6
washington,washington_v6,v6,2026-05-18T22:17:14.348071,TabPFN_v3,168,clean_only,True,42,9,35,60.03520291496296,21.451569342130146,95.85618902850813,29.55320631645689,0.7121067168671115,0.2838573292665148,33.49653751152412,11.167115265948748,40,179,6
washington,washington_v6,v6,2026-05-18T22:31:21.175597,TabPFN_NoWeather_v3,6,clean_only,False,42,0,980,60.77121060892027,55.33262237987913,74.69687956214504,66.1060735048534,0.7378104796080956,0.6704199893766106,33.19460186102189,25.45725641344038,40,4664,11
washington,washington_v6,v6,2026-05-18T22:34:57.956739,TabPFN_NoWeather_v3,24,clean_only,False,42,0,245,65.20222389422307,40.050569034204266,92.87253894995608,55.320279720582434,0.794909383481688,0.4902286284240402,34.59036840918647,19.52735824314701,40,1166,6
washington,washington_v6,v6,2026-05-18T22:36:46.259010,TabPFN_NoWeather_v3,48,clean_only,False,42,0,122,69.3436906803094,35.73660118481827,103.23879061735614,48.96890354155509,0.8489895518621964,0.449315248131207,36.63891610214765,18.545166666945832,40,582,6
washington,washington_v6,v6,2026-05-18T22:37:18.094293,TabPFN_NoWeather_v3,168,clean_only,False,42,0,35,66.34103865655912,20.390358712800804,104.3831183985318,29.19421788196316,0.7886562326486687,0.2752582941867557,35.55835133685611,13.62607212892864,40,179,6
washington,washington_v6,v6,2026-05-18T22:51:53.895793,TabPFN_v3,6,degraded,True,42,9,980,63.18310205060609,50.73056087305927,80.77030664208928,64.39163387904274,0.7669445151520022,0.6167888330063686,35.33395012021905,22.940384424275813,40,4664,11
washington,washington_v6,v6,2026-05-18T22:55:37.096574,TabPFN_v3,24,degraded,True,42,9,245,70.46912841857696,33.09734059229896,103.80113799901018,45.80384339792422,0.8574116472329087,0.4117410640478706,38.1584584636221,16.812152909580934,40,1166,6
washington,washington_v6,v6,2026-05-18T22:57:29.212385,TabPFN_v3,48,degraded,True,42,9,122,73.75604048578954,29.96257012688633,111.80476164684264,41.24243477167532,0.8981034626879822,0.3807594794068541,39.28390741675528,14.159845230497483,40,582,6
washington,washington_v6,v6,2026-05-18T22:58:01.494179,TabPFN_v3,168,degraded,True,42,9,35,75.44886800188597,18.892295733168407,117.09595266163122,25.64961942533176,0.8924968255758692,0.2570420489910216,40.39611543089605,10.868730423345314,40,179,6
london,london_v6,v6,2026-05-18T23:12:24.772251,TabPFN_v3,6,clean_only,True,42,9,980,255.98342761733903,306.13493272940354,327.19048346667137,393.8184651505902,0.6819094272696774,0.8545170660111993,26.10615415483057,24.75093055582745,0,0,0
london,london_v6,v6,2026-05-18T23:16:02.241682,TabPFN_v3,24,clean_only,True,42,9,245,295.40672011764684,233.65874637254868,452.0556147729495,358.7828733764207,0.7884217301684247,0.6495337736474555,28.37511905462217,20.58081169371317,0,0,0
london,london_v6,v6,2026-05-18T23:17:50.708405,TabPFN_v3,48,clean_only,True,42,9,122,301.43780435695027,186.2031095692894,494.9385903332936,301.82013408143496,0.8054825130742378,0.5194969195159044,28.619517445769684,15.887124216785796,0,0,0
london,london_v6,v6,2026-05-18T23:18:21.875851,TabPFN_v3,168,clean_only,True,42,9,35,292.5725448653812,77.5494082069824,553.4455158372953,124.5765151638966,0.792906903831202,0.279050770153313,28.10813265770109,6.977300432827419,0,0,0
london,london_v6,v6,2026-05-18T23:32:40.470387,TabPFN_NoWeather_v3,6,clean_only,False,42,0,980,306.58531373601386,334.40048315738136,388.62372612512416,418.3589233667763,0.8160447999661465,0.9214198043256058,29.23376511651872,25.526364526573985,0,0,0
london,london_v6,v6,2026-05-18T23:36:16.797267,TabPFN_NoWeather_v3,24,clean_only,False,42,0,245,328.403297731179,229.1775125370487,493.1002099926966,346.7739603385345,0.8782694730236831,0.6464818503112484,30.45768311028285,21.01296999047656,0,0,0
london,london_v6,v6,2026-05-18T23:37:57.359134,TabPFN_NoWeather_v3,48,clean_only,False,42,0,122,333.8824574742161,189.89997835968933,530.058825106954,302.4762671082963,0.8912563533623371,0.538879498698926,30.618021199556388,16.671145037750684,0,0,0
london,london_v6,v6,2026-05-18T23:38:24.874604,TabPFN_NoWeather_v3,168,clean_only,False,42,0,35,340.9339862810511,101.97656003211264,603.4513959543681,138.4123095734056,0.918927027644837,0.3180531826987019,31.43586669318896,7.304122514675003,0,0,0
london,london_v6,v6,2026-05-18T23:52:48.941941,TabPFN_v3,6,degraded,True,42,9,980,299.2471373441268,301.5913203346684,391.2124443350159,394.5885160208984,0.8000312944166262,0.8425000268041203,30.487448592374367,24.012846450237816,0,0,0
london,london_v6,v6,2026-05-18T23:56:26.884861,TabPFN_v3,24,degraded,True,42,9,245,341.214665594555,212.18081336996016,532.8257381562573,320.4669209678119,0.9092183134331971,0.587978720903548,32.846560188166585,19.240518379974684,0,0,0
london,london_v6,v6,2026-05-18T23:58:15.022639,TabPFN_v3,48,degraded,True,42,9,122,354.00647494832026,169.68429474754515,585.6308389051013,265.24115084997766,0.9451862656024752,0.470824722217182,33.506071980839366,14.596017823172875,0,0,0
london,london_v6,v6,2026-05-18T23:58:46.616380,TabPFN_v3,168,degraded,True,42,9,35,357.47891454072226,75.55218770441903,626.5237624470132,119.6164603918844,0.9633356017375092,0.2428900753310565,34.18534681849659,6.812823681503957,0,0,0
seoul,seoul_v6,v6,2026-05-20T00:21:22.421967,Prophet,6,clean_only,False,42,0,980,340.1046717059449,261.9213667516059,389.0708924670608,271.81797943576765,1.176965778951658,0.9130652620936291,48.8948402780748,43.163758260542096,295,33780,50
seoul,seoul_v6,v6,2026-05-20T00:21:43.947477,Prophet,24,clean_only,False,42,0,245,349.92669277808625,190.1124821593471,441.0773700912566,219.56452210245408,1.2197367711018658,0.7013865945616014,49.24912989247146,31.83483148689676,295,8418,13
seoul,seoul_v6,v6,2026-05-20T00:21:54.240301,Prophet,48,clean_only,False,42,0,122,369.3502247821376,180.147996082934,469.8572433224409,214.747172738109,1.294389071644946,0.6829565964086315,51.30816135013856,29.20540743793224,295,4161,13
seoul,seoul_v6,v6,2026-05-20T00:21:57.823388,Prophet,168,clean_only,False,42,0,35,401.5305792788551,131.29329275152816,519.659238660905,164.51855321159468,1.4128068588326967,0.4897519551620157,55.098912351520326,21.09605324641897,295,1180,7
seoul,seoul_v6,v6,2026-05-20T02:23:02.999002,NeuralProphet,6,clean_only,True,42,9,980,665.4663525549732,326.94217957115154,749.6050111143812,345.7516577683704,2.335055819277901,1.247368580600385,79.39209926744219,37.4864295556358,295,33780,50
seoul,seoul_v6,v6,2026-05-20T02:52:54.380684,NeuralProphet,24,clean_only,True,42,9,245,375.42682807011664,180.2200689962025,485.3268856793832,227.5572917987012,1.3219421707537362,0.6627049384109297,52.82969184113822,31.604794949173755,295,8418,13
seoul,seoul_v6,v6,2026-05-20T03:07:52.031036,NeuralProphet,48,clean_only,True,42,9,122,417.1011816932123,166.63971195016327,553.0962577880384,228.2126361138451,1.478925613383954,0.7237270917229238,55.974220400109616,27.674893973581025,295,4161,13
seoul,seoul_v6,v6,2026-05-20T03:12:10.446794,NeuralProphet,168,clean_only,True,42,9,35,400.94130427437983,122.0626470566838,542.3242345387279,186.42752336089657,1.4353877876040526,0.6017949174971905,54.63216585367629,16.08085293274654,295,1180,7
seoul,seoul_v6,v6,2026-05-20T05:02:45.304119,NeuralProphet_NoWeather,6,clean_only,False,42,0,980,692.10502672311,318.03275673430244,773.7026934225219,333.8580786485825,2.420205903358102,1.2195300193014424,82.52225410547437,36.76136812658733,295,33780,50
seoul,seoul_v6,v6,2026-05-20T05:30:37.170181,NeuralProphet_NoWeather,24,clean_only,False,42,0,245,386.6715795642664,205.3595477992697,497.7662454311844,258.2686127326043,1.3528897811161322,0.7375893916389709,53.76992760025382,32.94560812691425,295,8418,13
seoul,seoul_v6,v6,2026-05-20T05:44:30.534232,NeuralProphet_NoWeather,48,clean_only,False,42,0,122,445.6985465214064,184.568929499896,583.9906962153825,230.026729984264,1.55986350384938,0.6701895543578765,59.17135340023904,30.633586038595592,295,4161,13
seoul,seoul_v6,v6,2026-05-20T05:48:28.649862,NeuralProphet_NoWeather,168,clean_only,False,42,0,35,406.99582491851584,128.27769049410185,563.2416200605458,180.474584200227,1.4387373013646196,0.4931807078436134,54.989814480510304,19.00798269685224,295,1180,7
seoul,seoul_v6,v6,2026-05-20T07:50:44.394845,NeuralProphet,6,degraded,True,42,9,980,666.9145809716108,338.7713564031803,753.852413089173,357.47887835150715,2.338392164004848,1.2736769491242277,79.64742023569936,37.50947874078226,295,33780,50
seoul,seoul_v6,v6,2026-05-20T08:21:51.550970,NeuralProphet,24,degraded,True,42,9,245,395.40642403108734,173.42004934513213,508.8272829779477,225.5626722707401,1.3911554598393705,0.6325180702173937,55.56709334178261,30.3120997728837,295,8418,13
